unicode dec,unicode hex,character,name
4352,1100,ᄀ,Choseong_K
4353,1101,ᄁ,Choseong_KK
4354,1102,ᄂ,Choseong_N
4355,1103,ᄃ,Choseong_T
4356,1104,ᄄ,Choseong_TT
4357,1105,ᄅ,Choseong_R
4358,1106,ᄆ,Choseong_M
4359,1107,ᄇ,Choseong_P
4360,1108,ᄈ,Choseong_PP
4361,1109,ᄉ,Choseong_S
4362,110A,ᄊ,Choseong_SS
4363,110B,ᄋ,Choseong_NG
4364,110C,ᄌ,Choseong_J
4365,110D,ᄍ,Choseong_JJ
4366,110E,ᄎ,Choseong_CH
4367,110F,ᄏ,Choseong_KH
4368,1110,ᄐ,Choseong_TH
4369,1111,ᄑ,Choseong_PH
4370,1112,ᄒ,Choseong_H
4449,1161,ᅡ,Jungseong_A
4450,1162,ᅢ,Jungseong_AE
4451,1163,ᅣ,Jungseong_YA
4452,1164,ᅤ,Jungseong_YAE
4453,1165,ᅥ,Jungseong_O
4454,1166,ᅦ,Jungseong_OE
4455,1167,ᅧ,Jungseong_YO
4456,1168,ᅨ,Jungseong_YOE
4457,1169,ᅩ,Jungseong_U
4458,116A,ᅪ,Jungseong_WA
4459,116B,ᅫ,Jungseong_WAE
4460,116C,ᅬ,Jungseong_WE
4461,116D,ᅭ,Jungseong_YU
4462,116E,ᅮ,Jungseong_EU
4463,116F,ᅯ,Jungseong_YI
4464,1170,ᅰ,Jungseong_I
4520,11A8,ᆨ,Jongseong_K
4521,11A9,ᆩ,Jongseong_KS
4523,11AB,ᆫ,Jongseong_N
4524,11AC,ᆬ,Jongseong_NJ
4525,11AD,ᆭ,Jongseong_NH
4526,11AE,ᆮ,Jongseong_T
4527,11AF,ᆯ,Jongseong_R
4528,11B0,ᆰ,Jongseong_RK
4529,11B1,ᆱ,Jongseong_RS
4530,11B2,ᆲ,Jongseong_RT
4531,11B3,ᆳ,Jongseong_RP
4532,11B4,ᆴ,Jongseong_RH
4533,11B5,ᆵ,Jongseong_M
4534,11B6,ᆶ,Jongseong_P
4535,11B7,ᆷ,Jongseong_PS
4536,11B8,ᆸ,Jongseong_S
4537,11B9,ᆹ,Jongseong_SS
4538,11BA,ᆺ,Jongseong_NG
4539,11BB,ᆻ,Jongseong_J
4540,11BC,ᆼ,Jongseong_CH
4541,11BD,ᆽ,Jongseong_KH
4542,11BE,ᆾ,Jongseong_TH
4543,11BF,ᆿ,Jongseong_PH
4544,11C0,ᇀ,Jongseong_H
